t=2025-10-31T13:18:40+0000 lvl=info msg="no configuration paths supplied"
t=2025-10-31T13:18:40+0000 lvl=info msg="using configuration at default config path" path=/home/ubuntu/.config/ngrok/ngrok.yml
t=2025-10-31T13:18:40+0000 lvl=info msg="open config file" path=/home/ubuntu/.config/ngrok/ngrok.yml err=nil
t=2025-10-31T13:18:40+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-10-31T13:18:41+0000 lvl=info msg="client session established" obj=tunnels.session
t=2025-10-31T13:18:41+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-10-31T13:18:41+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://villiform-parker-perfunctorily.ngrok-free.dev
t=2025-10-31T13:18:42+0000 lvl=info msg=start pg=/api/tunnels id=fa8ff5efe1cdf0c7
t=2025-10-31T13:18:42+0000 lvl=info msg=end pg=/api/tunnels id=fa8ff5efe1cdf0c7 status=200 dur=226.965µs
t=2025-10-31T13:19:47+0000 lvl=warn msg="failed to open private leg" id=cca059dfeef0 privaddr=localhost:3000 err="dial tcp [::1]:3000: connect: connection refused"
t=2025-10-31T13:19:48+0000 lvl=warn msg="failed to open private leg" id=af3ebd019d1c privaddr=localhost:3000 err="dial tcp [::1]:3000: connect: connection refused"
t=2025-10-31T13:21:58+0000 lvl=info msg="join connections" obj=join id=43c17472e46f l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58154
t=2025-10-31T13:21:58+0000 lvl=info msg="join connections" obj=join id=fa2a28f9ebf8 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58154
t=2025-10-31T13:21:58+0000 lvl=info msg="join connections" obj=join id=2e433d7615f9 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58154
t=2025-10-31T13:21:58+0000 lvl=info msg="join connections" obj=join id=1b956da05303 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58154
t=2025-10-31T13:21:58+0000 lvl=info msg="join connections" obj=join id=0c35c82b5c0b l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58154
t=2025-10-31T13:21:58+0000 lvl=info msg="join connections" obj=join id=b0c49db1eb5c l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58154
t=2025-10-31T13:21:59+0000 lvl=info msg="join connections" obj=join id=0485a2af394d l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58160
t=2025-10-31T13:21:59+0000 lvl=info msg="join connections" obj=join id=d78e8d44aea4 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58154
t=2025-10-31T13:22:01+0000 lvl=info msg="join connections" obj=join id=e0ebb7eeddc9 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58154
t=2025-10-31T13:22:22+0000 lvl=info msg="join connections" obj=join id=c1e89de3a3fe l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58154
t=2025-10-31T13:22:22+0000 lvl=info msg="join connections" obj=join id=9cc85662c6a5 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58154
t=2025-10-31T13:22:33+0000 lvl=info msg="join connections" obj=join id=8fdbfa634e66 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58154
t=2025-10-31T13:22:56+0000 lvl=info msg="join connections" obj=join id=044e08206efd l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58154
t=2025-10-31T13:22:57+0000 lvl=info msg="join connections" obj=join id=226f9b5aca8f l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58154
t=2025-10-31T13:23:19+0000 lvl=info msg="join connections" obj=join id=e856c8ba64d8 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58154
t=2025-10-31T13:23:24+0000 lvl=info msg="join connections" obj=join id=931d17ee7c7d l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58190
t=2025-10-31T13:23:27+0000 lvl=info msg="join connections" obj=join id=264cce1d129a l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58190
t=2025-10-31T13:24:48+0000 lvl=info msg="join connections" obj=join id=b718f09a13ed l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:38444
t=2025-10-31T13:26:34+0000 lvl=info msg="join connections" obj=join id=4ab70d8413e2 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:54630
t=2025-10-31T13:26:34+0000 lvl=info msg="join connections" obj=join id=e97ad2f0dad4 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:54630
t=2025-10-31T13:27:34+0000 lvl=info msg="join connections" obj=join id=3dc558a79c08 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:54630
t=2025-10-31T13:27:34+0000 lvl=info msg="join connections" obj=join id=ce93fcfe2b44 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:54630
t=2025-10-31T13:27:52+0000 lvl=info msg="join connections" obj=join id=0497994c52df l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:54630
t=2025-10-31T13:27:52+0000 lvl=info msg="join connections" obj=join id=a015d245cd29 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:54630
t=2025-10-31T13:27:56+0000 lvl=info msg="join connections" obj=join id=0b7fc3b2fa7b l=127.0.0.1:3000 r=35.167.37.158:46530
t=2025-10-31T13:28:01+0000 lvl=info msg="join connections" obj=join id=c9283bdc7191 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:54630
t=2025-10-31T13:28:03+0000 lvl=info msg="join connections" obj=join id=0b18eb80c2a4 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:54630
t=2025-10-31T13:28:04+0000 lvl=info msg="join connections" obj=join id=2151bded2903 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:54630
t=2025-10-31T13:28:15+0000 lvl=info msg="join connections" obj=join id=e80f9739e1d4 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:54630
t=2025-10-31T13:29:34+0000 lvl=info msg="join connections" obj=join id=4b269ceea623 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:54630
t=2025-10-31T13:30:34+0000 lvl=info msg="join connections" obj=join id=48b67b038fed l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:54630
t=2025-10-31T13:30:56+0000 lvl=info msg="join connections" obj=join id=de548f09524b l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:54630
t=2025-10-31T13:31:34+0000 lvl=info msg="join connections" obj=join id=cfc76090d8dd l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:54630
t=2025-10-31T13:32:34+0000 lvl=info msg="join connections" obj=join id=68b3505b9f62 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:54630
t=2025-10-31T13:32:34+0000 lvl=info msg="join connections" obj=join id=d15f6cdb7610 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:54630
t=2025-10-31T13:42:18+0000 lvl=info msg="join connections" obj=join id=32c7bc9a1202 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33974
t=2025-10-31T13:42:18+0000 lvl=info msg="join connections" obj=join id=63de24a64b69 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33974
t=2025-10-31T13:42:36+0000 lvl=info msg="join connections" obj=join id=2766665fbac8 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33974
t=2025-10-31T13:42:36+0000 lvl=info msg="join connections" obj=join id=a5f0fcbc95c1 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33976
t=2025-10-31T13:42:36+0000 lvl=info msg="join connections" obj=join id=7cd05f41c0e8 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33976
t=2025-10-31T13:42:37+0000 lvl=info msg="join connections" obj=join id=ae5b2dbd06a9 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33976
